Artist,Producer,weight
Lil Durk,JPlatinum,1
Lil Durk,ChopsquadDJ,10
Lil Durk,Speaker Knockerz,1
Lil Durk,Dbrooks,2
Lil Durk,Chief Keef,1
Lil Durk,OZ,1
Lil Durk,The MeKanics,2
Lil Durk,Zaytoven,3
Lil Durk,DP Beats,2
Lil Durk,Lil Keis,1
Lil Durk,Murda,3
Lil Durk,DJ L Beats,6
Lil Durk,KidWonder,2
Lil Durk,Southside,2
Lil Durk,DJ Twinz,1
Lil Durk,Deezy,1
Lil Durk,Snap Back,1
Lil Durk,Inomek,3
Lil Durk,CashMoneyAP,1
Lil Durk,Azeal,1
Lil Durk,Cassius Jay,1
Lil Durk,Backpack,1
Lil Durk,FKi,1
Lil Durk, WillaFool,1
Lil Durk, Denisbeats,1
Lil Durk, Tino,1
Lil Durk, JoonTheBeat and S Breezy,1
Lil Durk,Rob Jones,1
Lil Durk,Lofey,1
Lil Durk,Pandemik,1
Lil Durk,Michael Piroli,1
Lil Durk,DennisBeatz,1
Lil Durk,TiNo,1
Lil Durk,AZaeProduction,1
Lil Durk,Norway,1
Lil Durk,My Mixtapez,1
Lil Durk,Leekeleek,2
Lil Durk,Will-A-Fool,1
Lil Durk,D.R. The Dream Maker,1
Lil Durk,Cardo,1
Lil Durk,Robin Banks,1
Lil Durk,Beat Billionaire,1
Lil Durk,Rok Steady,1
Lil Durk,ALLBLCK,1
Lil Durk,2RawDesignz,1
Lil Durk,Chris Picasso,1
Lil Durk,Bbanks,1
Lil Durk,Ronnie,1
Lil Durk,Fade,1
Lil Durk,Sonny Digital,1
Lil Durk,Kharri,1
Lil Durk,YIB,1
Lil Durk,Tarentino,2
Lil Durk,JBoonTheBeat,1
Lil Durk,Squat,2
Lil Durk,S Breezy,1
Lil Durk,London On Da Track,2
Lil Reese,RiccoOnDaBeat,4
Lil Reese,DJ L Beats,1
Lil Reese,London On Da Track,1
Lil Reese,Young Chop,14
Lil Reese,KidWond3r,2
Lil Reese,Chief Keef,3
Lil Reese,Murda,1
Lil Reese,JustSpvnk,2
Lil Reese,CashMoneyAP,2
Lil Reese,12 Hunna,1
Lil Reese,DP Beats,1
Lil Reese,Trak Addicts,1
Lil Reese,Dibent,1
Lil Reese,Will-A-Fool,1
Lil Reese,Trapblancobeatz,1
Lil Reese,DJ Bandz,1
Lil Reese,YoungLan,1
Lil Reese,TomTom,1
Lil Reese,Chris Surreal,1
Lil Reese,Natural Disaster,2
Lil Reese,JD On Tha Track,2
Lil Reese,Dree The Drummer,2
Lil Reese,Drumma Boy,1
Lil Reese,Yung Lan,1
Lil Reese,Leekeleek,1
Lil Reese,Marvin Cruz,1
Lil Reese,Tarentino,1
Lil Reese,Mista Midnight,1
Lud Foe,Bxnkroll Beats,1
Lud Foe,KidWond3r,28
Lud Foe,KidWonder,9
Lud Foe,Kidd Wonder,2
Lud Foe,Khemist Beats,1
Lud Foe,Victor H. Beats,2
Lupe Fiasco,Gorillaz,6
Lupe Fiasco,DJ Dahi,4
Lupe Fiasco,Alex Da Kid,2
Lupe Fiasco,Cory Buchanan,1
Lupe Fiasco,Wizzo Buchanan,1
Lupe Fiasco,The Buchanans,3
Lupe Fiasco,Prolyfic,7
Lupe Fiasco,Kavinsky,1
Lupe Fiasco,Bryce Wilson,1
Lupe Fiasco,Puff Daddy,1
Lupe Fiasco,Mario Winans,1
Lupe Fiasco,Rich Kidd,1
Lupe Fiasco,Free Chilly,1
Lupe Fiasco,B-Sides,3
Lupe Fiasco,SIMON SAYZ,10
Lupe Fiasco,1500 or Nothin',4
Lupe Fiasco,Famties,1
Lupe Fiasco,Bullit,1
Lupe Fiasco,Ayesha Jaco,1
Lupe Fiasco,King David “The Future”,5
Lupe Fiasco,Kanye West,5
Lupe Fiasco,Jason Boyd,3
Lupe Fiasco,The Audibles,2
Lupe Fiasco,Soundtrakk,29
Lupe Fiasco,S1,3
Lupe Fiasco,Vohn Beatz,2
Lupe Fiasco,Superflyronald,1
Lupe Fiasco,Anonymous Gallery,1
Lupe Fiasco,Poo Bear,3
Lupe Fiasco,The Runners,2
Lupe Fiasco,​iSHi,3
Lupe Fiasco,Dan the Automator,1
Lupe Fiasco,Brody Brown,3
Lupe Fiasco,Larrance Dopson,4
Lupe Fiasco,Craig Kallman,2
Lupe Fiasco,Just Blaze,1
